   I,   II,  III,  AVR,  AVL,  AVF,   V1,   V2,   V3,   V4,   V5,   V6, RV, MapD, MapP, P 1
  -5, -31, -33,   4,   7, -32, -50, -73, -91, -56, -32,  -7,  -9,-218, -20,1019
 -11, -36, -31,  10,   3, -33, -45, -73, -92, -57, -31,  -6,  -6, 309,  -3,1016
 -20, -39, -26,  16,  -4, -32, -38, -71, -92, -57, -28,  -2,  -8,   2,   2,1013
 -23, -42, -26,  19,  -6, -34, -35, -71, -94, -59, -28,  -1,  -9,-644, -20,1011
 -26, -46, -28,  22,  -6, -37, -33, -73, -97, -62, -29,  -1,  -5,-287,   6,1008
 -22, -48, -34,  21,  -1, -40, -34, -74,-101, -65, -31,  -3,  -5, -45,   8,1005
 -14, -47, -41,  17,   7, -44, -39, -78,-104, -66, -34,  -5,  -6, 207,   5,1002
  -6, -44, -46,  12,  13, -45, -41, -81,-106, -67, -36,  -8,  -8, 798, -22,1000
  -3, -42, -47,   9,  16, -44, -43, -84,-105, -65, -35,  -7,  -8, 136, -17, 997
  -1, -42, -47,   8,  16, -45, -41, -83,-103, -62, -31,  -3,  -6,  56, -32, 994
  -2, -41, -46,   9,  16, -44, -37, -86,-104, -62, -29,  -0,  -8, -90,  12, 992
  -5, -41, -42,  10,  12, -42, -33, -88,-105, -61, -28,   0,  -9,-2292,  -3, 989
 -11, -41, -37,  13,   7, -39, -28, -88,-105, -62, -28,   1,  -8,2272, -22, 986
 -14, -41, -34,  14,   3, -37, -26, -90,-106, -62, -27,   1,  -8, 249, -12, 984
 -13, -39, -32,  13,   2, -35, -26, -93,-107, -62, -27,  -0,  -6, 424, -17, 981
 -11, -37, -32,  11,   4, -34, -30, -97,-110, -63, -29,  -3,  -6,-1086,  -8, 979
  -7, -39, -40,  10,  10, -39, -37,-100,-113, -64, -31,  -6,  -3,-426,   3, 977
  -3, -41, -46,   9,  15, -44, -39, -97,-111, -63, -31,  -5,  -8, 383,   9, 974
   1, -41, -50,   7,  19, -45, -38, -94,-111, -62, -31,  -5,  -6,-354,   8, 972
  -2, -42, -47,   9,  17, -45, -36, -91,-109, -61, -30,  -5,  -8,1102, -29, 969
  -7, -44, -44,  12,  12, -44, -34, -87,-108, -61, -30,  -5,  -8, 161, -34, 967
 -10, -47, -44,  15,  10, -45, -33, -87,-108, -63, -32,  -7,  -8, -90, -22, 964
 -15, -52, -43,  21,   7, -47, -30, -87,-108, -64, -32,  -6, -11,-178,   2, 962
 -17, -57, -47,  24,   8, -51, -27, -86,-107, -64, -32,  -5,  -9,-876,   3, 960
 -20, -62, -49,  28,   8, -55, -21, -86,-107, -64, -31,  -3,  -9,-592,  28, 958
